well,sample_id,depth_top,depth_bottom,depth,aft_age,aft_age_min_95ci,aft_age_plus_95ci,Dpar
NDW-01,NDW01-2,2811,2815,2813,87.6901245117,-39.2918014526,70.8008728027,
NDW-01,NDW01-2,2811,2815,2813,42.1670341492,-33.0497703552,151.0707092285,
NDW-01,NDW01-2,2811,2815,2813,13.3457221985,-11.6377754211,90.3010635376,
NDW-01,NDW01-2,2811,2815,2813,117.8988876343,-55.5596466064,104.2313156128,
NDW-01,NDW01-2,2811,2815,2813,30.5622673035,-16.9838294983,38.1142616272,
NDW-01,NDW01-2,2811,2815,2813,92.5117034912,-33.7581863403,52.9371414185,
NDW-01,NDW01-2,2811,2815,2813,81.3655014038,-33.5082359314,56.7197990417,
NDW-01,NDW01-2,2811,2815,2813,57.2799072266,-24.3505535126,42.2188568115,
NDW-01,NDW01-2,2811,2815,2813,0,0,75.7032241821,
NDW-01,NDW01-2,2811,2815,2813,68.3820724487,-32.2723693848,60.8276290894,
NDW-01,NDW01-2,2811,2815,2813,66.4540710449,-42.2944488525,115.2997131348,
NDW-01,NDW01-2,2811,2815,2813,31.0067119598,-14.4371166229,26.9597816467,
SMG-01,SMG01-1,3129,3129,3129,0,0,5.9335713387,
SMG-01,SMG01-1,3129,3129,3129,0,0,9.6714963913,
SMG-01,SMG01-1,3129,3129,3129,0,0,13.8982191086,
SMG-01,SMG01-1,3129,3129,3129,0,0,23.3902931213,
SMG-01,SMG01-1,3129,3129,3129,2.9380941391,-2.241508007,9.4474163055,
SMG-01,SMG01-1,3129,3129,3129,0,0,14.3460502625,
SMG-01,SMG01-1,3129,3129,3129,0,0,11.7057542801,
SMG-01,SMG01-1,3129,3129,3129,0,0,7.0631566048,
SMG-01,SMG01-1,3129,3129,3129,0,0,9.0797805786,
SMG-01,SMG01-1,3129,3129,3129,0,0,13.8982191086,
SMG-01,SMG01-1,3129,3129,3129,61.3693008423,-18.4275093079,26.2816848755,
SMG-01,SMG01-1,3129,3129,3129,1.7056084871,-1.4792194366,11.1347780228,
SMG-01,SMG01-1,3129,3129,3129,0,0,5.8555335999,
SMG-01,SMG01-1,3129,3129,3129,0,0,7.0631566048,
SMG-01,SMG01-1,3129,3129,3129,0,0,21.1662998199,
SMG-01,SMG01-1,3129,3129,3129,0,0,13.4775009155,
SMG-01,SMG01-1,3129,3129,3129,0,0,8.0898809433,
SMG-01,SMG01-1,3129,3129,3129,0,0,17.1012496948,
SMG-01,SMG01-1,3129,3129,3129,11.4058713913,-9.9845647812,79.6315155029,
SMG-01,SMG01-1,3129,3129,3129,81.4974517822,-28.0877933502,42.7173538208,
SMG-01,SMG01-2,3336,3336,3336,0,0,14.6430644989,
SMG-01,SMG01-2,3336,3336,3336,99.8289718628,-29.8778648376,42.4993247986,
SMG-01,SMG01-2,3336,3336,3336,0,0,7.96540308,
SMG-01,SMG01-2,3336,3336,3336,0,0,51.1058883667,
SMG-01,SMG01-2,3336,3336,3336,0,0,135.3923339844,
SMG-01,SMG01-2,3336,3336,3336,34.115562439,-30.034526825,246.3098144531,
SMG-01,SMG01-2,3336,3336,3336,0,0,27.3068752289,
SMG-01,SMG01-2,3336,3336,3336,0,0,17.8219432831,
SMG-01,SMG01-2,3336,3336,3336,0,0,54.498588562,
SMG-01,SMG01-2,3336,3336,3336,9.7657375336,-7.4638781548,31.5883216858,
SMG-01,SMG01-2,3336,3336,3336,0,0,29.252948761,
SMG-01,SMG01-2,3336,3336,3336,5.1611003876,-4.4785499573,33.7759056091,
SMG-01,SMG01-2,3336,3336,3336,0,0,7.7401022911,
SMG-01,SMG01-2,3336,3336,3336,0,0,135.3923339844,
SMG-01,SMG01-2,3336,3336,3336,0,0,14.6430644989,
SMG-01,SMG01-2,3336,3336,3336,10.1271476746,-8.8111343384,67.4504623413,
SMG-01,SMG01-2,3336,3336,3336,0,0,16.0768718719,
SMG-01,SMG01-2,3336,3336,3336,90.5767288208,-72.8843078613,362.7396850586,
SMG-01,SMG01-2,3336,3336,3336,3.5073513985,-3.0407748222,22.8176937103,
SMG-01,SMG01-2,3336,3336,3336,3.9646914005,-3.4381327629,25.8353710175,
SPC-01,SPC01-1,830,850,840,0,0,662.9762573242,
SPC-01,SPC01-1,830,850,840,115.3390579224,-105.339012146,1113.1284179688,
SPC-01,SPC01-1,830,850,840,71.2217254639,-39.7746810913,89.4592895508,
SPC-01,SPC01-1,830,850,840,100.4113311768,-53.7408294678,114.5998153687,
